player,Team
"Mondesi, Adalberto",BOS
"Anderson, Brian",MIL
"Maton, Nick",DET
"Vazquez, Christian",MIN
"Dickerson, Corey",WSH
"Aranda, Jonathan",TB
"Hicks, Aaron",NYY
"Bart, Joey",SF
"Gorman, Nolan",STL
"Pham, Tommy",NYM
"Stallings, Jacob",MIA
"Diaz, Elias",COL
"Ahmed, Nick",ARI
"Stowers, Kyle",BAL
"Lopez, Nicky",KC
"Garver, Mitch",TEX
"Walker, Jordan",STL
"Hedges, Austin",PIT
"Cabrera, Miguel",DET
"Carpenter, Matt",SD
"Vogelbach, Daniel",NYM
"Profar, Jurickson",FA
"Grossman, Robbie",FA
"d’Arnaud, Travis",ATL
"Moore, Dylan",SEA
"Urshela, Gio",LAA
"Nola, Austin",SD
"Grandal, Yasmani",CHW
"Trevino, Jose",NYY
"Cruz, Nelson",SD
"Haase, Eric",DET
"Thomas, Alek",ARI
"Peralta, David",LAD
"Sanchez, Gary",FA
"Dubon, Mauricio",HOU
"Lewis, Kyle",ARI
"Zunino, Mike",CLE
"Harper, Bryce",PHI
"McGuire, Reese",BOS
"Lowe, Josh",TB
"Fletcher, David",LAA
"Moreno, Gabriel",ARI
"Sheets, Gavin",CHW
"O’Hoppe, Logan",LAA
"Narvaez, Omar",NYM
"Arcia, Orlando",ATL
"Rivera, Emmanuel",ARI
"Kelly, Carson",ARI
"Thompson, Bubba",TEX
"Vierling, Matt",DET
"Pollock, AJ",SEA
"Engel, Adam",SD
"Arroyo, Christian",BOS
"A. Taylor, Michael",MIN
"Farmer, Kyle",MIN
"Newman, Kevin",CIN
"Call, Alex",WSH
"Rojas, Miguel",LAD
"Bethancourt, Christian",TB
"Barnhart, Tucker",CHC
"Story, Trevor",BOS
"Hiura, Keston",MIL
"De La Cruz, Elly",CIN
"Berti, Jon",MIA
"Mateo, Jorge",BAL
"Mejia, Francisco",TB
"Stassi, Max",LAA
"Campusano, Luis",SD
"Garrett, Stone",WSH
"Volpe, Anthony",NYY
"Peraza, Oswald",NYY
"Gomes, Yan",CHC
"Meyers, Jake",HOU
"Hwan Bae, Ji",PIT
"Outman, James",LAD
"Sosa, Lenyn",CHW
"Duran, Ezequiel",TEX
"Slater, Austin",SF
"Miller, Brad",TEX
"Caratini, Victor",MIL
"Pratto, Nick",KC
"Gamel, Ben",FA
"Pinder, Chad",CIN
"Brennan, Will",CLE
"Odor, Rougned",FA
"Kiner-Falefa, Isiah",NYY
"Calhoun, Kole",FA
"Wisdom, Patrick",CHC
"Larnach, Trevor",MIN
"Jones, Nolan",COL
"Mitchell, Cal",PIT
"Velazquez, Nelson",CHC
"Naylor, Bo",CLE
"Groshans, Jordan",MIA
"Eaton, Nate",KC
"Solano, Donovan",FA
"Biggio, Cavan",TOR
"Gonzalez, Romy",CHW
"Walls, Taylor",TB
"Fortes, Nick",MIA
"Noda, Ryan",OAK
"Alfaro, Jorge",BOS
"Hall, Darick",PHI
"Pache, Cristian",OAK
"Jeffers, Ryan",MIN
"Joe, Connor",PIT
"Montero, Elehuris",COL
"Sosa, Edmundo",PHI
"Guillorme, Luis",NYM
"Naquin, Tyler",FA
"Lewis, Royce",MIN
"Iglesias, Jose",FA
"Pina, Manny",OAK
"Nido, Tomas",NYM
"Mervis, Matt",CHC
"Fairchild, Stuart",CIN
"Serven, Brian",COL
"Bradley Jr., Jackie",FA
"Rios, Edwin",FA
"Hernandez, Cesar",DET
"Toglia, Michael",COL
"Gurriel, Yuli",FA
"Bouchard, Sean",COL
"Murphy, Tom",SEA
"Voit, Luke",FA
"Barnes, Austin",LAD
"McCann, James",BAL
"Perez, Roberto",SF
"Perdomo, Geraldo",ARI
"Higashioka, Kyle",NYY
"Dalbec, Bobby",BOS
"Harrison, Josh",PHI
"Brosseau, Mike",MIL
"Zavala, Seby",CHW
"La Stella, Tommy",SEA
"DeJong, Paul",STL
"Barrero, Jose",CIN
"Adams, Riley",WSH
"Sands, Donny",DET
"Chirinos, Robinson",FA
"Guthrie, Dalton",PHI
"Alu, Jake",WSH
"Vargas, Ildemaro",WSH
"Benson, Will",CIN
"Casali, Curt",CIN
"Ruf, Darin",NYM
"Castro, Harold",COL
"Solak, Nick",CIN
"Freeman, Tyler",CLE
"Smith, Kevin",OAK
"Duran, Jarren",BOS
"Azocar, Jose",SD
"Dixon, Brandon",SD
"Lee, Korey",HOU
"Luplow, Jordan",ATL
"Refsnyder, Rob",BOS
"Knizner, Andrew",STL
"Garcia, Leury",CHW
"Haggerty, Sam",SEA
"Duffy, Matt",KC
"Stubbs, Garrett",PHI
"Maile, Luke",CIN
"Rodriguez, Endy",PIT
"Kieboom, Carter",WSH
"Burger, Jake",CHW
"Brujan, Vidal",TB
"Capel, Conner",OAK
"Arias, Gabriel",CLE
"Frelick, Sal",MIL
"Alvarez, Francisco",NYM
"Diaz, Isan",SF
"Nevin, Tyler",DET
"Wong, Connor",BOS
"Reyes, Franmil",FA
"Trammell, Taylor",SEA
"McKinstry, Zach",CHC
"Baty, Brett",NYM
"Culberson, Charlie",TB
"Moniak, Mickey",LAA
"Kreidler, Ryan",DET
"Alberto, Hanser",CHW
"Heineman, Tyler",PIT
"Tapia, Raimel",BOS
"Rogers, Jake",DET
"Hensley, David",HOU
"Celestino, Gilberto",MIN
"Mazara, Nomar",BAL
"Toro, Abraham",MIL
"Wallner, Matt",MIN
"Raley, Luke",TB
"Ortiz, Joey",BAL
"Cano, Robinson",FA
"Reyes, Victor",CHW
"Hilliard, Sam",ATL
"Siani, Michael",CIN
"Sano, Miguel",FA
"Ibanez, Andy",DET
"Madrigal, Nick",CHC
"Villar, Jonathan",FA
"Pillar, Kevin",ATL
"Gregorius, Didi",FA
"McKenna, Ryan",BAL
"Herrera, Odubel",FA
"Smith, Pavin",ARI
"Mathias, Mark",TEX
"Marcano, Tucupita",PIT
"Smith-Njigba, Canaan",PIT
"Strange-Gordon, Dee",FA
"Phillips, Brett",LAA
"Chang, Yu",FA
"Moustakas, Mike",FA
"Upton, Justin",FA
"Pinto, Rene",TB
"Tsutsugo, Yoshi",TEX
"Soderstrom, Tyler",OAK
"Ortega, Rafael",NYY
"Jankowski, Travis",TEX
"Plawecki, Kevin",PIT
"Heyward, Jason",LAD
"Gonzalez, Luis",SF
"Mendick, Danny",NYM
"Frazier, Jackson",TEX
"Escobar, Alcides",FA
"Simmons, Andrelton",FA
"Hill, Derek",WSH
"Trejo, Alan",COL
"Taylor, Samad",KC
"Hummel, Cooper",SEA
"Camargo, Johan",KC
"Westburg, Jordan",BAL
"Fermin, Jose",STL
"Mauricio, Ronny",NYM
"Reynolds, Matt",CIN
"Ford, Mike",SEA
"Gonzalez, Marwin",FA
"Andujar, Miguel",PIT
"Sierra, Magneuris",LAA
"White, Evan",SEA
"Lopez, Alejo",CIN
"Proctor, Ford",SF
"Dickerson, Alex",FA
"Brinson, Lewis",FA
"Moran, Colin",CIN
"Leon, Sandy",TEX
"Aquino, Aristides",FA
"Neuse, Sheldon",FA
"Burleson, Alec",STL
"Madris, Bligh",HOU
"Torrens, Luis",CHC
"Calhoun, Willie",NYY
"Chavis, Michael",WSH
"Wiemer, Joey",MIL
"Suzuki, Kurt",FA
"Garcia, Aramis",FA
"Vogt, Stephen",FA
"Lamb, Jake",LAA
"Velazquez, Andrew",LAA
"Burdick, Peyton",MIA
"Owings, Chris",PIT
"Lowrie, Jed",FA
"Hampson, Garrett",MIA
"Locastro, Tim",NYM
"Marisnick, Jake",CHW
"Beaty, Matt",KC
"Bote, David",CHC
"Davis, Jonathan",DET
"Huff, Sam",TEX
"White, Eli",ATL
"Perez, Carlos",CHW
"Cowser, Colton",BAL
"Leblanc, Charles",MIA
"Hamilton, David",BOS
"Vientos, Mark",NYM
"Diaz, Jordan",OAK
"Sanchez, Yolbert",CHW
"Lukes, Nathan",TOR
"Collins, Zack",CLE
"Wynns, Austin",SF
"Matijevic, J.J.",HOU
"O’Hearn, Ryan",BAL
"Rivas, Alfonso",SD
"Florial, Estevan",NYY
"Rosario, Eguy",SD
"Shewmake, Braden",ATL
"Valera, George",CLE
"Vavra, Terrin",BAL
"Palacios, Richie",CLE
"Barger, Addison",TOR
"Horwitz, Spencer",TOR
"Pries, Micah",CLE
"Leon, Pedro",HOU
"Machado, Dixon",HOU
"Zimmer, Bradley",LAD
"Munoz, Yairo",ARI
"Diaz, Lewin",BAL
"Castro, Willi",MIN
"Hernandez, Yonny",LAD
"Garcia, Dermis",OAK
"Perkins, Blake",MIL
"Mazeika, Patrick",LAD
"Clemens, Kody",PHI
"Valdez, Enmanuel",BOS
"Fletcher, Dominic",ARI
"Adell, Jo",LAA
"Beer, Seth",ARI
"Julien, Edouard",MIN
"Encarnacion, Jerar",MIA
"Vilade, Ryan",PIT
"Triolo, Jared",PIT
"Mastrobuoni, Miles",CHC
"Soto, Livan",LAA
"Lopez, Otto",TOR
"Diaz, Yainer",HOU
"Amaya, Jacob",MIA
"Rafaela, Ceddanne",BOS
"Swaggerty, Travis",PIT
"Gelof, Zack",OAK
"Miller, Owen",MIL
"Bride, Jonah",OAK
"Busch, Michael",LAD
"Doyle, Brenton",COL
"Wisely, Brett",SF
"Hamilton, Billy",CHW
"Cave, Jake",PHI
"Severino, Pedro",SD
"Goodrum, Niko",BOS
"Duggar, Steven",LAD
"Bemboom, Anthony",BAL
"Tucker, Cole",COL
"Park, Hoy",ATL
"Rooker, Brent",OAK
"Herrera, Ivan",STL
"Bannon, Rylan",HOU
"Batten, Matthew",SD
"Peguero, Liover",PIT
"Loftin, Nick",KC
"Fry, David",CLE
"Stefanic, Michael",LAA
"Tauchman, Mike",CHC
"Wade, Tyler",OAK
"Wallach, Chad",LAA
"Schrock, Max",SD
"Herrera, Jose",ARI
"Muzziotti, Simon",PHI
"Rortvedt, Ben",NYY
"Henry, Payton",MIL
"Ramos, Heliot",SF
"Garcia, Maikel",KC
"Wendzel, Davis",TEX
"MacIver, Willie",COL
"Wolters, Tony",MIN
"Gallagher, Cam",CLE
"Quinn, Roman",CLE
"Hermosillo, Michael",NYY
"Thaiss, Matt",LAA
"Allen, Austin",MIA
"Marchan, Rafael",PHI
"Fermin, Freddy",KC
"Sabol, Blake",SF
"Welker, Colton",SF
"Downs, Jeter",WSH
"Adrianza, Ehire",ATL
"Tromp, Chadwick",ATL
"McCann, Kyle",OAK
"Pineda, Israel",WSH
"Kennedy, Buddy",ARI
"Harris, Dustin",TEX
"Hernandez, Yadiel",WSH
"Garlick, Kyle",MIN
"Dahl, David",SD
"Almonte, Abraham",NYM
"Liberato, Luis",SD
"Perez, Joe",HOU
"Deluca, Jonny",LAD
"Rocchio, Brayan",CLE
"Tena, Jose",CLE
"Jimenez, Leo",TOR
"Barrosa, Jorge",ARI
"Basabe, Osleivis",TB
"Mead, Curtis",TB
"Noel, Jhonkensy",CLE
"Pages, Andy",LAD
"Capra, Vinny",TOR
"Martinez, Orelvis",TOR
"Martinez, Angel",CLE
"Clase, Jonatan",SEA
"Brito, Juan",CLE
"Knapp, Andrew",SF
"Lester, Josh",BAL
"Palacios, Josh",PIT
"Alcantara, Sergio",CHC
"Castillo, Diego",ARI
"Gomez, Moises",STL
"Higgins, P.J.",ARI
"Lee, Khalil",NYM
"Edwards, Xavier",MIA
"Jones, Greg",TB
"Pereira, Everson",NYY
"Hernandez, Diego",KC
"Rojas, Johan",PHI
"Rodriguez, Jose",CHW
"Rodriguez, Alberto",SEA
"Norby, Connor",BAL
"Cartaya, Diego",LAD
"Luciano, Marco",SF
"Marte, Noelvi",CIN
"Matos, Luis",SF
"Bernabel, Warming",COL
"Acuna, Luisangel",TEX
"Ramos, Bryan",CHW
"Polcovich, Kaden",SEA
"Johnston, Troy",MIA
"Crim, Blaine",TEX
"Bernard, Wynton",COL
"Nunez, Dom",COL
"Heredia, Guillermo",FA
"Moreland, Mitch",FA
"Machin, Vimael",OAK
"Perez, Michael",NYM
"Quiroz, Esteban",CHC
"Cordero, Franchy",BAL
"DeLuzio, Ben",CHC
"Viloria, Meibrys",CLE
"McKay, Brendan",TB
"Bechtold, Andrew",MIN
"Blankenhorn, Travis",WSH
"Sullivan, Brett",SD
"Ortiz, Jhailyn",PHI
"Stovall, Hunter",COL
"Dawson, Ronnie",FA
"Reynolds, Sean",MIA
"Butler, Lawrence",OAK
"Contreras, Mark",MIN
"Alexander, Blaze",ARI
"Carreras, Julio",COL
"Ornelas, Jonathan",TEX
"De La Rosa, Jeremy",WSH
"Marlowe, Cade",SEA
"Dungan, Clay",KC
"Garneau, Dustin",FA
"Gardner, Brett",FA
"Piscotty, Stephen",SF
"Romine, Austin",CIN
"Mayfield, Jack",FA
"Delay, Jason",PIT
"Robinson, Chuckie",CIN
"Thomas, Cody",OAK
"Barrera, Tres",WSH
"Noll, Jake",WSH
"Clement, Ernie",OAK
"Lavastida, Bryan",CLE
"Carter, Evan",TEX
"Adams, Matt",WSH
"Malloy, Justyn-Henry",DET
"Meadows, Parker",DET
"Hechavarria, Adeiny",ATL
"Veen, Zac",COL
"Bolt, Skye",MIL
"Short, Zack",DET
"Stevenson, Cal",OAK
"Perez, Wenceel",DET
"Dingler, Dillon",DET
"Gonzalez, Erik",MIA
"Gore, Terrance",NYM
"Allen, Greg",BOS
"Fox, Lucius",WSH
"Palacios, Jermaine",DET
"Haseley, Adam",CHW
"Papierski, Michael",DET
"Hernandez, Ronaldo",BOS
"Williams, Luke",LAD
"Amaya, Miguel",CHC
"Feliciano, Mario",DET
"Diaz, Yusniel",LAD
"Walker, Steele",DET
"Canario, Alexander",CHC
"Young, Jared",CHC
"Martin, Mason",PIT
"Abreu, Wilyer",BOS
"Vivas, Jorbit",LAD
"Leonard, Eddys",LAD
"Scott, Stephen",BOS
"Davis, Brennen",CHC
"Granberg, Devlin",BOS
"Fitzgerald, Ryan",BOS
"Alcantara, Kevin",CHC
"Lipcius, Andre",DET
"Lawlar, Jordan",ARI
"Kolozsvary, Mark",BAL
"Cameron, Daz",BAL
"Rivero, Sebastian",CHW
"Dominguez, Jasson",NYY
"Reyes, Pablo",OAK
"Hamilton, Caleb",BOS
