last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Olson, Matt,621566,2022,170,75,103,294,0,162,86,
Mateo, Jorge,622761,2022,147,27,50,187,35,150,63,
Santander, Anthony,623993,2022,122,55,89,261,0,152,78,
Alonso, Pete,624413,2022,128,67,131,309,5,160,95,
Frazier, Adam,624428,2022,73,46,42,168,11,156,61,
Cronenworth, Jake,630105,2022,131,70,88,229,3,158,88,
Bellinger, Cody,641355,2022,150,38,68,196,14,144,70,
Crawford, J.P.,641487,2022,80,68,42,174,3,145,57,
Mancini III, Trey,641820,2022,135,53,63,203,0,143,56,
McMahon, Ryan,641857,2022,158,60,67,219,7,153,67,
Tellez, Rowdy,642133,2022,121,62,89,244,2,153,67,
Rosario, Amed,642708,2022,111,25,71,257,18,153,86,
Adames, Willy,642715,2022,166,49,98,258,8,139,83,
Estrada, Thairo,642731,2022,89,33,62,195,21,140,71,
Benintendi, Andrew,643217,2022,77,52,51,184,8,126,54,
Kemp, Tony,643393,2022,69,45,46,166,11,147,61,
Kiner-Falefa, Isiah,643396,2022,72,35,48,158,22,142,66,
McNeil, Jeff,643446,2022,61,40,62,242,4,148,73,
Devers, Rafael,646240,2022,114,50,88,289,3,141,84,
Arraez, Luis,650333,2022,43,50,49,230,4,144,88,
Torres, Gleyber,650402,2022,129,39,76,237,10,140,73,
Diaz, Yandy,650490,2022,60,78,57,200,3,137,71,
Rengifo, Luis,650859,2022,79,17,52,210,6,127,45,
Chapman, Matt,656305,2022,170,68,76,233,2,155,83,
Hoskins, Rhys,656555,2022,169,72,79,272,2,156,81,
Mullins II, Cedric,656775,2022,126,47,64,245,34,156,89,
Schwarber, Kyle,656941,2022,200,86,94,291,10,155,100,
Thomas, Lane,657041,2022,132,41,52,201,8,146,62,
Verdugo, Alex,657077,2022,86,42,74,240,1,152,75,
Ohtani, Shohei,660271,2022,161,72,95,304,11,157,90,
Acuna Jr., Ronald,660670,2022,126,53,50,193,29,119,71,
Varsho, Daulton,662139,2022,145,46,74,235,16,151,79,
Hoerner, Nico,663538,2022,57,28,55,197,20,135,60,
Riley, Austin,663586,2022,168,57,93,325,2,159,90,
Mountcastle, Ryan,663624,2022,154,43,85,235,4,145,62,
Hayes, Ke'Bryan,663647,2022,122,48,41,174,20,136,55,
Tucker, Kyle,663656,2022,95,59,107,260,25,150,71,
Grisham, Trent,663757,2022,150,57,53,154,7,152,58,
Rodgers, Brendan,663898,2022,101,46,63,215,0,137,72,
Lowe, Nathaniel,663993,2022,147,48,76,292,2,157,74,
Happ, Ian,664023,2022,149,58,72,252,9,158,72,
France, Ty,664034,2022,94,35,83,240,0,140,65,
Straw, Myles,664702,2022,87,54,32,146,21,152,72,
Bohm, Alec,664761,2022,110,31,72,233,2,152,79,
Brown, Seth,664913,2022,146,51,73,222,11,150,55,
Pena, Jeremy,665161,2022,135,22,63,222,11,136,72,
Guerrero Jr., Vladimir,665489,2022,116,58,97,306,8,160,90,
Soto, Juan,665742,2022,96,135,62,237,6,153,93,
Gimenez, Andres,665926,2022,112,34,69,229,20,146,66,
Bichette, Bo,666182,2022,155,41,93,306,13,159,91,
Garcia, Adolis,666969,2022,183,40,101,276,25,156,88,
Arozarena, Randy,668227,2022,156,46,89,261,32,153,72,
Reynolds, Bryan,668804,2022,141,56,62,250,7,145,74,
Rojas, Josh,668942,2022,98,55,56,173,23,125,66,
Melendez Jr., MJ,669004,2022,131,66,62,181,2,129,57,
Murphy, Sean,669221,2022,124,56,66,229,1,148,67,
Edman, Tommy,669242,2022,111,46,57,231,32,153,95,
Smith, Will,669257,2022,96,56,87,236,1,137,68,
Hays, Austin,669720,2022,114,34,60,221,2,145,66,
Alvarez, Yordan,670541,2022,106,78,97,288,1,135,95,
Kirk, Alejandro,672386,2022,58,63,63,195,0,139,59,
Kim, Ha-Seong,673490,2022,100,51,59,198,12,150,58,
Rodriguez, Julio,677594,2022,145,40,75,260,25,132,84,
Witt Jr., Bobby,677951,2022,135,30,80,253,30,150,82,
Kwan, Steven,680757,2022,60,62,52,225,19,147,89,
Vaughn, Andrew,683734,2022,96,31,76,219,0,134,60,
Cabrera, Miguel,408234,2021,118,40,75,182,0,130,48,
Cruz Jr., Nelson,443558,2021,126,51,86,255,3,140,79,
Peralta, David,444482,2021,92,46,63,196,2,150,57,
Blackmon, Charlie,453568,2021,91,54,78,211,3,150,76,
McCutchen, Andrew,457705,2021,132,81,80,214,6,144,78,
Turner, Justin,457759,2021,98,61,87,251,3,151,87,
Votto, Joey,458015,2021,127,77,99,252,1,129,73,
Andrus, Elvis,462101,2021,81,31,37,159,12,146,60,
Santana, Carlos,467793,2021,102,86,69,193,2,158,66,
Lowrie, Jed,476704,2021,108,49,69,182,0,139,55,
Brantley Jr., Michael,488726,2021,53,33,47,205,1,121,68,
Gurriel, Yuli,493329,2021,68,59,81,245,1,143,83,
Rojas, Miguel,500743,2021,74,37,48,194,13,132,66,
Escobar, Eduardo,500871,2021,124,48,90,259,1,146,77,
Pham, Tommy,502054,2021,128,78,49,182,14,155,74,
Martinez, J.D.,502110,2021,150,55,99,295,0,148,92,
Goldschmidt, Paul,502671,2021,136,67,99,310,12,158,102,
Altuve, Jose,514888,2021,91,66,83,294,5,146,117,
Hernandez, Cesar,514917,2021,135,59,62,220,1,149,84,
Segura, Jean,516416,2021,78,39,58,224,9,131,76,
Marte, Starling,516782,2021,99,43,55,214,47,120,89,
Donaldson, Josh,518626,2021,114,74,72,217,0,135,73,
Freeman, Freddie,518692,2021,107,85,83,302,8,159,120,
LeMahieu, DJ,518934,2021,94,73,57,216,4,150,84,
Rizzo, Anthony,519203,2021,87,52,61,218,6,141,73,
Stanton, Giancarlo,519317,2021,157,63,97,263,0,139,64,
Perez, Salvador,521692,2021,170,28,121,337,1,161,88,
Garcia, Avisail,541645,2021,121,38,86,226,8,135,68,
Villar, Jonathan,542340,2021,132,46,42,189,14,142,63,
Aguilar, Jesus,542583,2021,93,46,93,206,0,131,49,
Crawford, Brandon,543063,2021,105,56,90,252,11,138,79,
Cron, C.J.,543068,2021,117,60,92,249,1,142,70,
Grossman, Robbie,543257,2021,155,98,67,231,20,156,88,
Harrison, Josh,543281,2021,75,31,60,202,9,138,58,
Hosmer, Eric,543333,2021,99,48,65,201,5,151,53,
Semien, Marcus,543760,2021,146,66,102,351,15,162,115,
Grichuk, Randal,545341,2021,114,27,81,216,0,149,59,
Harper, Bryce,547180,2021,134,100,84,300,13,141,101,
Abreu, Jose,547989,2021,143,61,117,272,1,152,86,
Suarez, Eugenio,553993,2021,171,56,79,216,0,145,71,
Schoop, Jonathan,570731,2021,133,37,84,271,2,156,85,
Arenado, Nolan,571448,2021,96,50,105,293,2,157,81,
Farmer, Kyle,571657,2021,97,22,63,201,2,147,60,
Haniger, Mitch,571745,2021,169,54,100,301,1,157,110,
Hernandez, Enrique,571771,2021,110,61,60,228,1,134,84,
Muncy, Max,571970,2021,120,83,94,262,2,144,95,
Seager, Kyle,572122,2021,161,59,101,264,3,159,73,
Taylor, Michael A.,572191,2021,144,33,54,172,14,142,58,
Yastrzemski, Mike,573262,2021,131,51,71,214,4,139,75,
Iglesias, Jose,578428,2021,75,21,48,189,5,137,65,
Bryant, Kris,592178,2021,135,62,73,247,10,144,86,
Canha, Mark,592192,2021,128,77,61,201,12,141,93,
Castellanos, Nick,592206,2021,121,41,100,306,3,138,95,
Judge, Aaron,592450,2021,158,75,98,299,6,148,89,
Machado, Manny,592518,2021,102,63,106,276,12,153,92,
Realmuto, J.T.,592663,2021,129,48,73,209,13,134,64,
Renfroe, Hunter,592669,2021,130,44,96,261,1,144,89,
Merrifield, Whit,593160,2021,103,40,74,262,40,162,97,
Bogaerts, Xander,593428,2021,113,62,79,261,5,144,90,
Polanco, Jorge,593871,2021,118,45,98,296,11,152,97,
Sano, Miguel,593934,2021,183,59,75,219,2,135,68,
Duvall, Adam,594807,2021,174,35,113,252,5,146,67,
Baez, Javier,595879,2021,184,28,87,248,18,138,80,
Lindor, Francisco,596019,2021,96,58,63,186,10,125,73,
Story, Trevor,596115,2021,139,53,75,248,20,142,88,
Candelario, Jeimer,600869,2021,135,65,67,247,0,149,75,
Bell, Josh,605137,2021,101,65,88,237,0,144,75,
Betts, Mookie,605141,2021,86,68,58,227,10,122,93,
Tapia, Raimel,606132,2021,70,40,50,181,20,133,69,
Hernandez, Teoscar,606192,2021,148,36,116,288,12,143,92,
Turner, Trea,607208,2021,110,41,77,319,32,148,107,
Ramirez, Jose,608070,2021,87,72,103,297,27,152,111,
Gallo, Joey,608336,2021,213,111,77,228,6,153,90,
Swanson, Dansby,621020,2021,167,52,88,264,9,160,78,
Newman, Kevin,621028,2021,41,27,39,160,6,148,50,
Taylor, Chris,621035,2021,167,63,73,222,13,148,92,
Correa, Carlos,621043,2021,116,75,92,269,0,148,104,
Olson, Matt,621566,2021,113,88,111,305,4,156,101,
Alonso, Pete,624413,2021,127,60,94,291,3,152,81,
Frazier, Adam,624428,2021,69,48,43,237,10,155,83,
Soler, Jorge,624585,2021,142,67,70,223,0,149,74,
Cronenworth, Jake,630105,2021,90,55,71,261,4,152,94,
Meadows, Austin,640457,2021,122,59,106,237,4,142,79,
Anderson, Tim,641313,2021,119,22,61,247,18,123,94,
Crawford, J.P.,641487,2021,114,58,54,233,3,160,89,
Dozier, Hunter,641531,2021,154,43,54,192,5,144,55,
Mancini III, Trey,641820,2021,143,51,71,240,0,147,77,
McMahon, Ryan,641857,2021,147,59,86,237,6,151,80,
O'Neill, Tyler,641933,2021,168,38,80,270,15,138,89,
Rosario, Amed,642708,2021,120,31,57,225,13,141,77,
Adames, Willy,642715,2021,156,57,73,239,5,140,77,
Benintendi, Andrew,643217,2021,97,36,73,218,8,134,63,
Kiner-Falefa, Isiah,643396,2021,90,28,53,227,20,158,74,
Albies, Ozzie,645277,2021,128,47,106,307,20,156,103,
Devers, Rafael,646240,2021,143,62,113,318,5,156,101,
Urias, Luis,649966,2021,116,63,75,218,5,150,77,
Torres, Gleyber,650402,2021,104,50,51,168,14,127,50,
Diaz, Yandy,650490,2021,85,69,64,180,1,134,62,
Chapman, Matt,656305,2021,202,80,72,213,3,151,75,
Mullins II, Cedric,656775,2021,125,59,59,312,30,159,91,
Smith, Pavin,656976,2021,106,42,49,201,1,145,68,
Verdugo, Alex,657077,2021,96,51,63,232,6,146,88,
Moncada, Yoan,660162,2021,157,84,61,214,3,144,74,
Ohtani, Shohei,660271,2021,189,96,100,318,26,155,103,
Riley, Austin,663586,2021,168,52,107,313,0,160,91,
Mountcastle, Ryan,663624,2021,161,41,89,260,4,144,77,
Tucker, Kyle,663656,2021,90,53,92,282,14,140,83,
India, Jonathan,663697,2021,141,71,69,244,12,150,98,
Grisham, Trent,663757,2021,119,54,62,191,13,132,61,
Lowe, Nathaniel,663993,2021,162,80,72,231,8,157,75,
Happ, Ian,664023,2021,156,62,66,202,9,148,63,
France, Ty,664034,2021,106,46,73,254,0,152,85,
Lowe, Brandon,664040,2021,167,68,99,280,7,149,97,
Fletcher, David,664058,2021,60,31,47,203,15,157,74,
Straw, Myles,664702,2021,121,67,48,196,30,158,86,
Walsh, Jared,665120,2021,152,48,98,270,2,144,70,
Tatis Jr., Fernando,665487,2021,153,62,97,292,25,130,99,
Guerrero Jr., Vladimir,665489,2021,110,86,111,363,4,161,123,
Soto, Juan,665742,2021,93,145,95,268,9,151,111,
Chisholm Jr., Jazz,665862,2021,145,34,53,197,23,124,70,
Bichette, Bo,666182,2021,137,40,102,310,25,159,121,
Carlson, Dylan,666185,2021,152,57,65,237,2,149,79,
Garcia, Adolis,666969,2021,194,32,90,264,16,149,77,
Gurriel Jr., Lourdes,666971,2021,102,32,84,233,1,141,62,
Arozarena, Randy,668227,2021,170,56,69,243,20,141,94,
Reynolds, Bryan,668804,2021,119,75,90,292,5,159,93,
Rojas, Josh,668942,2021,137,58,44,199,9,139,69,
Edman, Tommy,669242,2021,95,38,56,248,30,159,91,
Solak, Nick,669256,2021,107,34,49,166,7,127,57,
Hays, Austin,669720,2021,107,28,71,225,4,131,73,
Lopez, Nicky,670032,2021,74,49,43,188,22,151,78,
Alvarez, Yordan,670541,2021,145,50,104,285,1,144,92,
Cabrera, Miguel,408234,2020,51,24,35,85,1,57,28,
Cruz Jr., Nelson,443558,2020,58,25,33,110,0,53,33,
Peralta, David,444482,2020,45,13,34,88,1,54,19,
Longoria, Evan,446334,2020,39,11,28,82,0,53,26,
Cabrera, Asdrubal,452678,2020,40,19,31,85,0,52,23,
Blackmon, Charlie,453568,2020,44,19,42,99,2,59,31,
Solano, Donovan,456781,2020,39,10,29,88,0,54,22,
McCutchen, Andrew,457705,2020,48,22,34,94,4,57,32,
Votto, Joey,458015,2020,43,37,22,83,0,54,32,
Santana, Carlos,467793,2020,43,47,30,72,0,60,34,
Brantley Jr., Michael,488726,2020,28,17,22,81,2,46,24,
Gurriel, Yuli,493329,2020,27,12,22,81,0,57,27,
Escobar, Eduardo,500871,2020,41,15,20,68,1,54,22,
Martinez, J.D.,502110,2020,59,22,27,82,1,54,22,
Reddick, Josh,502210,2020,42,20,23,71,1,56,22,
Goldschmidt, Paul,502671,2020,43,37,21,89,0,58,31,
Gonzalez, Marwin,503556,2020,41,17,22,56,0,53,15,
Altuve, Jose,514888,2020,39,17,18,66,2,48,32,
Hernandez, Cesar,514917,2020,57,24,20,95,0,58,35,
Segura, Jean,516416,2020,45,23,25,81,2,54,28,
Marte, Starling,516782,2020,41,12,27,98,10,61,36,
Freeman, Freddie,518692,2020,37,45,53,137,2,60,51,
Grandal, Yasmani,518735,2020,58,30,27,68,0,46,27,
LeMahieu, DJ,518934,2020,21,18,27,115,3,50,41,
Rizzo, Anthony,519203,2020,38,28,24,84,3,58,26,
Flores, Wilmer,527038,2020,36,13,32,102,1,55,30,
Garcia, Avisail,541645,2020,49,20,15,59,1,53,20,
Ozuna, Marcell,542303,2020,60,38,56,145,0,60,38,
Villar, Jonathan,542340,2020,54,19,15,54,16,52,13,
Aguilar, Jesus,542583,2020,40,23,34,86,0,51,31,
Crawford, Brandon,543063,2020,47,15,28,80,1,54,26,
Grossman, Robbie,543257,2020,38,21,23,80,7,51,23,
Hicks, Aaron,543305,2020,38,41,21,70,4,54,28,
Rendon, Anthony,543685,2020,31,38,31,94,0,52,29,
Semien, Marcus,543760,2020,50,25,23,79,4,53,28,
Springer III, George,543807,2020,38,24,32,102,1,51,37,
Vazquez, Christian,543877,2020,43,16,23,79,4,47,22,
Wong, Kolten,543939,2020,30,20,16,59,5,53,26,
Gregorius, Didi,544369,2020,28,15,40,105,3,60,34,
Grichuk, Randal,545341,2020,49,13,35,104,1,55,38,
Trout, Mike,545361,2020,56,35,46,120,1,53,41,
Ruiz, Rio,547004,2020,46,17,32,79,1,54,25,
Harper, Bryce,547180,2020,43,49,33,103,7,58,41,
Abreu, Jose,547989,2020,59,18,60,148,0,60,43,
Suarez, Eugenio,553993,2020,67,30,38,93,2,57,29,
Gonzalez, Erik,570481,2020,51,8,20,65,2,50,14,
Arenado, Nolan,571448,2020,20,15,26,79,0,48,23,
Muncy, Max,571970,2020,60,39,27,79,1,58,36,
Myers, Wil,571976,2020,56,18,40,120,2,55,34,
Pollock, AJ,572041,2020,45,12,34,111,2,55,30,
Seager, Kyle,572122,2020,33,32,40,88,5,60,35,
Voit III, Luke,572228,2020,54,17,52,130,0,56,41,
Walker, Christian,572233,2020,50,19,34,100,1,57,35,
Dickerson, Corey,572816,2020,35,15,17,78,1,52,25,
Yastrzemski, Mike,573262,2020,55,30,35,109,2,54,39,
Contreras, Willson,575929,2020,57,20,26,77,1,57,37,
Canha, Mark,592192,2020,54,37,33,78,4,59,32,
Castellanos, Nick,592206,2020,69,19,34,106,0,60,37,
Machado, Manny,592518,2020,37,26,47,130,6,60,44,
Moran, Colin,592567,2020,52,19,23,84,0,52,28,
Realmuto, J.T.,592663,2020,48,16,32,85,4,47,33,
Rosario, Eddie,592696,2020,34,19,42,100,2,57,31,
Yelich, Christian,592885,2020,76,46,22,86,4,58,39,
Merrifield, Whit,593160,2020,33,12,30,109,10,60,38,
Bogaerts, Xander,593428,2020,41,21,28,102,7,56,36,
Alberto, Hanser,593643,2020,30,5,22,86,3,54,35,
Polanco, Jorge,593871,2020,35,13,19,74,4,55,22,
Sano, Miguel,593934,2020,90,18,25,89,0,53,31,
Calhoun, Kole,594777,2020,50,28,40,100,1,54,35,
Duvall, Adam,594807,2020,54,15,33,101,0,57,34,
Profar, Jurickson,595777,2020,28,15,25,77,7,56,28,
Baez, Javier,595879,2020,75,7,24,80,3,59,27,
Lindor, Francisco,596019,2020,41,24,27,98,6,60,30,
Story, Trevor,596115,2020,63,24,28,122,13,59,41,
Kepler, Max,596146,2020,36,22,23,75,2,48,27,
Franco, Maikel,596748,2020,38,16,38,102,1,60,23,
Bradley Jr., Jackie,598265,2020,48,23,22,86,5,55,32,
La Stella, Tommy,600303,2020,12,27,25,88,1,55,31,
Nunez, Renato,600524,2020,64,17,31,96,0,52,29,
Candelario, Jeimer,600869,2020,49,20,29,93,1,52,30,
Ahmed, Nick,605113,2020,46,18,29,80,4,57,29,
Anderson, Brian,605119,2020,66,22,38,93,0,59,27,
Bell, Josh,605137,2020,59,22,22,71,0,57,22,
Betts, Mookie,605141,2020,38,24,39,123,10,55,47,
Davis, J.D.,605204,2020,56,31,19,74,0,56,26,
Arcia, Orlando,606115,2020,32,14,20,72,2,59,22,
Tapia, Raimel,606132,2020,38,14,17,74,8,51,26,
Hernandez, Teoscar,606192,2020,63,14,34,110,5,50,33,
Marte, Ketel,606466,2020,21,7,17,74,1,45,19,
Nimmo, Brandon,607043,2020,43,33,18,90,1,55,33,
Turner, Trea,607208,2020,36,22,41,137,11,59,46,
Pillar, Kevin,607680,2020,41,13,26,96,5,54,34,
Ramirez, Jose,608070,2020,43,31,46,133,10,58,45,
Gallo, Joey,608336,2020,79,29,26,73,2,57,23,
Seager, Corey,608369,2020,37,17,41,124,1,52,38,
Mondesi, Adalberto,609275,2020,70,11,22,91,23,59,33,
Reyes, Franmil,614177,2020,69,24,34,95,0,59,27,
Swanson, Dansby,621020,2020,71,22,35,110,5,60,49,
Taylor, Chris,621035,2020,55,26,32,88,3,56,30,
Correa, Carlos,621043,2020,49,16,25,77,0,58,22,
Olson, Matt,621566,2020,77,34,42,89,0,60,28,
Reyes, Victor,622682,2020,45,9,14,79,7,57,30,
Alonso, Pete,624413,2020,61,24,35,102,1,57,31,
Biggio, Cavan,624415,2020,61,41,28,95,6,59,41,
Conforto, Michael,624424,2020,57,24,31,104,3,54,40,
Frazier, Adam,624428,2020,35,17,23,76,1,58,22,
Cronenworth, Jake,630105,2020,30,18,20,82,3,54,26,
Anderson, Tim,641313,2020,50,10,21,110,4,49,45,
Bellinger, Cody,641355,2020,42,30,30,97,6,56,33,
Crawford, J.P.,641487,2020,39,23,24,69,6,53,33,
Dozier, Hunter,641531,2020,48,27,12,62,3,44,29,
Lewis, Kyle,641786,2020,71,34,28,90,5,58,37,
McMahon, Ryan,641857,2020,66,18,26,72,0,52,23,
Smith, Dominic,642086,2020,45,14,42,109,0,50,27,
Adames, Willy,642715,2020,74,20,23,89,2,54,29,
Kiner-Falefa, Isiah,643396,2020,32,14,10,78,8,58,28,
McNeil, Jeff,643446,2020,24,20,23,83,0,52,19,
Robles, Victor,645302,2020,53,9,15,53,4,52,20,
Devers, Rafael,646240,2020,67,13,43,112,0,57,32,
Jimenez, Eloy,650391,2020,56,12,41,119,0,55,26,
Schwarber, Kyle,656941,2020,66,30,24,75,1,59,30,
Verdugo, Alex,657077,2020,45,17,15,96,3,53,36,
White, Evan,657108,2020,84,18,26,63,1,54,19,
Laureano, Ramon,657656,2020,58,24,25,67,0,54,27,
Moncada, Yoan,660162,2020,72,28,24,77,0,52,28,
Acuna Jr., Ronald,660670,2020,60,38,29,93,8,46,46,
Riley, Austin,663586,2020,49,16,27,78,0,51,24,
Tucker, Kyle,663656,2020,46,18,42,107,8,58,33,
Grisham, Trent,663757,2020,64,31,26,98,10,59,42,
Happ, Ian,664023,2020,63,30,28,100,1,57,27,
Lowe, Brandon,664040,2020,58,25,37,107,3,56,36,
Fletcher, David,664058,2020,25,20,18,88,2,49,31,
Tatis Jr., Fernando,665487,2020,61,27,45,128,11,59,50,
Guerrero Jr., Vladimir,665489,2020,38,20,33,102,1,60,34,
Soto, Juan,665742,2020,28,41,37,107,5,47,39,
Gurriel Jr., Lourdes,666971,2020,48,14,33,111,3,57,28,
Reynolds, Bryan,668804,2020,57,21,19,66,1,55,24,
Edman, Tommy,669242,2020,48,16,26,75,2,55,29,
Solak, Nick,669256,2020,42,18,23,72,7,58,27,
Hiura, Keston,669374,2020,85,16,32,89,2,59,30,
Lopez, Nicky,670032,2020,41,18,13,45,0,56,15,
Robert Jr., Luis,673357,2020,73,20,31,88,8,56,33,
Pujols, Albert,405395,2019,68,43,93,211,3,131,55,
Cabrera, Miguel,408234,2019,108,48,59,196,0,136,41,
Choo, Shin-Soo,425783,2019,165,78,61,256,15,151,93,
Jones, Adam,430945,2019,101,31,67,201,2,137,66,
Cruz Jr., Nelson,443558,2019,131,56,108,290,0,120,81,
Longoria, Evan,446334,2019,112,43,69,198,3,129,59,
Fowler, Dexter,451594,2019,142,74,67,199,8,150,69,
Cabrera, Asdrubal,452678,2019,103,57,91,197,4,131,69,
Blackmon, Charlie,453568,2019,104,40,86,334,2,140,112,
Cain, Lorenzo,456715,2019,106,50,48,209,18,148,75,
Turner, Justin,457759,2019,88,51,67,244,2,135,80,
Votto, Joey,458015,2019,123,76,47,216,5,142,79,
Gardner, Brett,458731,2019,108,52,74,247,10,141,86,
Braun, Ryan,460075,2019,105,34,75,232,11,144,70,
Gordon, Alex,460086,2019,100,51,76,220,5,150,77,
Andrus, Elvis,462101,2019,96,34,72,236,31,147,81,
Ramos, Wilson,467092,2019,69,44,73,197,1,141,52,
Santana, Carlos,467793,2019,108,108,93,295,4,158,110,
Belt, Brandon,474832,2019,127,83,57,212,4,156,76,
Brantley Jr., Michael,488726,2019,66,51,90,289,3,148,88,
Gurriel, Yuli,493329,2019,65,37,104,305,5,144,85,
Rojas, Miguel,500743,2019,62,32,46,183,9,132,52,
Escobar, Eduardo,500871,2019,130,50,118,325,5,158,94,
Davis, Khris,501981,2019,146,47,73,186,0,133,61,
Pham, Tommy,502054,2019,123,81,68,255,25,145,77,
Martinez, J.D.,502110,2019,138,72,105,320,2,146,98,
Reddick, Josh,502210,2019,66,36,56,205,5,141,57,
Goldschmidt, Paul,502671,2019,166,78,97,284,3,161,97,
Altuve, Jose,514888,2019,82,41,74,275,6,124,89,
Hernandez, Cesar,514917,2019,100,45,71,250,9,161,77,
Segura, Jean,516416,2019,73,30,60,242,10,144,79,
Castro, Starlin,516770,2019,111,28,86,277,2,162,68,
Marte, Starling,516782,2019,94,25,82,271,25,132,97,
Donaldson, Josh,518626,2019,155,100,94,286,4,155,96,
Freeman, Freddie,518692,2019,127,87,121,328,6,158,113,
Grandal, Yasmani,518735,2019,139,109,77,240,5,153,79,
Heyward, Jason,518792,2019,110,68,62,220,8,147,78,
LeMahieu, DJ,518934,2019,90,46,102,312,5,145,109,
Moustakas, Mike,519058,2019,98,53,87,270,3,143,80,
Rizzo, Anthony,519203,2019,86,71,94,266,5,146,89,
Galvis, Freddy,520471,2019,145,28,70,244,4,147,67,
Garcia, Avisail,541645,2019,125,31,72,227,10,125,61,
Ozuna, Marcell,542303,2019,114,62,89,229,12,130,80,
Villar, Jonathan,542340,2019,176,61,73,291,40,162,111,
Santana, Danny,542454,2019,151,25,81,253,21,130,81,
Crawford, Brandon,543063,2019,117,53,59,175,3,147,58,
